,job,marital,education,default,housing,loan,contact,day,month,pdays,poutcome,balance_capped,campaign_capped,age_capped,previous_winsorized,housing_loan,Week,previous_contacted,season,duration,Hasil Prediksi
65760,0,2,1,0,1,0,1,11.0,9,-1.0,1,0.0,1.0,48.0,0.0,0,1,0,3,126.0,1
67476,5,2,1,0,1,0,1,5.0,4,325.0,3,708.0,1.0,27.0,1.0,0,0,1,1,644.0,1
12843,3,2,1,0,1,0,1,15.0,4,365.0,0,680.0,4.0,42.0,2.0,0,2,1,1,306.0,0
59239,3,2,0,0,1,0,1,15.0,4,-1.0,1,146.0,1.0,41.0,0.0,0,2,0,1,485.0,1
62575,1,2,2,0,1,0,1,20.0,4,-1.0,1,266.0,2.0,37.0,0.0,0,2,0,1,802.0,1
4138,6,2,1,0,0,1,1,8.0,4,-1.0,1,71.0,1.0,37.0,0.0,0,1,0,1,254.0,0
61051,3,2,1,0,1,0,1,4.0,4,88.0,2,1730.0,1.0,47.0,2.0,0,0,1,1,361.0,1
7253,8,1,1,1,1,0,0,23.0,4,-1.0,1,-306.0,1.0,40.0,0.0,0,3,0,1,253.0,0
50699,5,2,1,0,0,0,0,18.0,7,-1.0,1,4043.0,1.0,43.0,0.0,0,2,0,2,374.0,1
5351,10,2,1,0,0,0,1,4.0,4,-1.0,1,715.0,4.0,25.0,0.0,0,0,0,1,254.0,0
6197,5,2,1,0,1,0,1,12.0,10,-1.0,1,1767.0,6.0,38.0,0.0,0,1,0,3,893.0,1
61038,3,2,2,0,1,0,1,15.0,4,361.0,0,-135.0,1.0,25.0,3.0,0,2,1,1,391.0,1
53300,7,2,1,0,0,0,1,26.0,6,-1.0,1,0.0,4.0,47.0,0.0,0,3,0,2,271.0,0
62300,1,2,1,0,0,0,0,10.0,5,-1.0,1,1995.0,2.0,48.0,0.0,0,1,0,2,765.0,1
49460,3,2,0,0,1,0,2,14.0,4,371.0,0,191.0,3.0,42.0,1.0,0,1,1,1,382.0,0
56023,1,2,1,0,0,0,1,9.0,10,91.0,2,541.0,1.0,32.0,4.0,0,1,1,3,152.0,1
10876,8,1,1,0,1,0,1,15.0,4,345.0,0,-74.0,1.0,27.0,1.0,0,2,1,1,151.0,0
43605,6,2,1,0,0,0,1,21.0,5,-1.0,1,771.0,1.0,54.0,0.0,0,2,0,2,159.0,1
23174,8,2,1,0,1,1,1,4.0,5,122.0,0,0.0,2.0,41.0,2.0,1,0,1,2,352.0,0
6970,8,2,1,0,1,0,1,15.0,4,340.0,0,77.0,1.0,26.0,4.0,0,2,1,1,619.0,1
74948,10,0,1,0,1,0,,,4,-1.0,1,262.0,,40.0,0.0,0,,0,1,,0
63745,5,2,1,0,1,0,1,23.0,9,-1.0,1,2594.0,1.0,45.0,0.0,0,3,0,3,261.0,1
72982,3,2,1,,,0,0,,4,-1.0,1,,4.0,43.0,0.0,0,,0,1,100.0,0
10266,8,0,1,0,0,0,1,30.0,6,-1.0,1,732.0,3.0,42.0,0.0,0,3,0,2,109.0,0
44620,2,2,1,0,1,0,1,20.0,8,-1.0,1,980.0,1.0,34.0,0.0,0,2,0,3,122.0,1
66154,3,2,1,0,1,0,1,18.0,4,-1.0,1,2150.0,1.0,29.0,0.0,0,2,0,1,728.0,1
7907,3,2,0,0,1,0,0,26.0,4,-1.0,1,60.0,6.0,34.0,0.0,0,3,0,1,23.0,0
51806,1,2,2,0,1,0,1,5.0,4,-1.0,1,387.0,1.0,37.0,0.0,0,0,0,1,1248.0,1
59059,6,1,1,0,1,0,1,13.0,4,350.0,0,165.0,2.0,36.0,1.0,0,1,1,1,1304.0,1
25329,3,2,0,0,1,0,1,25.0,7,-1.0,1,4043.0,6.0,58.0,0.0,0,3,0,2,606.0,1
50505,0,1,1,0,1,0,0,18.0,4,-1.0,1,1022.0,1.0,41.0,0.0,0,2,0,1,883.0,1
72452,1,2,1,,0,0,1,18.0,10,-1.0,,,1.0,33.0,0.0,0,2,0,3,96.0,0
68543,5,1,2,0,1,0,1,11.0,1,-1.0,1,3902.0,2.0,70.5,0.0,0,1,0,0,144.0,1
6531,3,2,1,0,0,0,2,4.0,1,212.0,0,226.0,2.0,45.0,2.0,0,0,1,0,170.0,0
18557,5,1,1,0,1,0,0,17.0,5,-1.0,1,810.0,1.0,36.0,0.0,0,2,0,2,296.0,0
40462,0,1,2,0,0,0,0,18.0,5,-1.0,1,11.0,3.0,38.0,0.0,0,2,0,2,78.0,0
65733,1,2,0,0,0,0,2,4.0,4,-1.0,1,2344.0,6.0,64.0,0.0,0,0,0,1,480.0,1
26216,6,2,2,0,0,0,1,19.0,10,-1.0,1,1778.0,2.0,53.0,0.0,0,2,0,3,186.0,0
72935,5,2,1,0,1,0,,17.0,6,-1.0,1,270.0,1.0,40.0,0.0,0,2,0,2,557.0,1
73991,9,1,3,0,1,0,1,19.0,10,-1.0,,2144.0,2.0,,0.0,0,2,0,3,282.0,0
49749,5,2,0,0,1,0,1,15.0,4,-1.0,1,169.0,3.0,49.0,0.0,0,2,0,1,82.0,0
37822,1,1,2,0,1,0,0,7.0,4,-1.0,1,406.0,1.0,39.0,0.0,0,0,0,1,68.0,0
26321,5,1,1,0,1,0,0,29.0,4,-1.0,1,2345.0,2.0,38.0,0.0,0,3,0,1,174.0,0
32610,1,0,2,0,1,0,1,3.0,1,231.0,0,4043.0,2.0,49.0,1.0,0,0,1,0,298.0,0
11718,6,2,0,0,1,1,1,30.0,6,-1.0,1,152.0,6.0,56.0,0.0,1,3,0,2,65.0,0
21185,3,2,1,0,1,0,2,23.0,6,-1.0,1,0.0,4.0,26.0,0.0,0,3,0,2,157.0,0
37116,8,0,1,0,1,0,1,15.0,4,177.0,0,1156.0,1.0,33.0,2.0,0,2,1,1,612.0,0
17491,8,2,1,0,1,0,1,9.0,6,-1.0,1,1572.0,1.0,50.0,0.0,0,1,0,2,185.0,0
52714,1,2,2,0,0,0,1,4.0,7,92.0,0,451.0,1.0,29.0,2.0,0,0,1,2,152.0,1
10180,1,1,2,0,0,1,1,28.0,0,190.0,0,-295.0,1.0,48.0,2.0,0,3,1,0,121.0,0
38552,1,0,2,0,1,0,0,30.0,4,-1.0,1,1589.0,6.0,32.0,0.0,0,3,0,1,422.0,0
74928,9,2,1,0,0,0,,8.0,5,116.0,3,1536.0,1.0,33.0,2.0,0,1,1,2,260.0,1
32573,8,2,2,0,0,0,0,18.0,5,-1.0,1,4043.0,1.0,39.0,0.0,0,2,0,2,567.0,0
34153,0,2,1,0,1,0,1,18.0,10,188.0,0,2626.0,2.0,44.0,3.0,0,2,1,3,170.0,0
66667,0,1,1,0,1,0,1,10.0,5,321.0,0,0.0,1.0,37.0,4.0,0,1,1,2,351.0,1
60330,1,2,1,0,1,0,1,7.0,6,786.0,0,409.0,2.0,36.0,4.0,0,0,1,2,379.0,1
29356,3,1,1,0,0,0,1,6.0,4,-1.0,1,48.0,2.0,37.0,0.0,0,0,0,1,140.0,0
15992,0,2,2,0,1,0,0,24.0,5,-1.0,1,1197.0,3.0,31.0,0.0,0,3,0,2,351.0,0
51118,1,2,2,0,0,0,1,15.0,6,-1.0,1,1233.0,5.0,39.0,0.0,0,2,0,2,1106.0,1
9628,5,2,1,0,1,0,0,29.0,4,-1.0,1,223.0,1.0,40.0,0.0,0,3,0,1,81.0,0
67813,1,2,1,0,1,0,1,17.0,7,241.0,0,239.0,1.0,32.0,4.0,0,2,1,2,437.0,1
12980,1,2,1,0,0,0,1,25.0,7,92.0,0,369.0,1.0,33.0,3.0,0,3,1,2,83.0,0
42157,0,2,1,0,1,0,1,7.0,4,-1.0,1,646.0,2.0,29.0,0.0,0,0,0,1,788.0,1
21402,1,2,2,0,0,0,1,23.0,6,-1.0,1,659.0,4.0,52.0,0.0,0,3,0,2,517.0,0
31900,5,0,2,0,0,1,1,25.0,4,-1.0,1,777.0,1.0,33.0,0.0,0,3,0,1,344.0,0
28714,1,0,2,0,0,0,1,20.0,7,-1.0,1,913.0,3.0,53.0,0.0,0,2,0,2,173.0,0
3358,5,0,1,0,1,0,1,14.0,4,-1.0,1,2999.0,1.0,44.0,0.0,0,1,0,1,717.0,1
22409,0,0,2,0,0,1,1,28.0,6,-1.0,1,465.0,3.0,38.0,0.0,0,3,0,2,30.0,0
35010,3,2,1,0,1,0,1,30.0,6,-1.0,1,917.0,2.0,50.0,0.0,0,3,0,2,58.0,0
5452,1,1,2,0,1,0,1,18.0,10,182.0,0,427.0,1.0,38.0,1.0,0,2,1,3,253.0,0
969,1,2,1,0,0,0,0,18.0,5,-1.0,1,0.0,2.0,55.0,0.0,0,2,0,2,324.0,0
16985,11,0,1,0,0,0,1,18.0,10,-1.0,1,4043.0,1.0,51.0,0.0,0,2,0,3,59.0,0
20578,1,0,2,0,1,0,1,15.0,6,-1.0,1,4043.0,2.0,39.0,0.0,0,2,0,2,1083.0,1
30665,5,1,1,0,1,1,1,30.0,6,182.0,3,261.0,6.0,28.0,4.0,1,3,1,2,269.0,0
12568,5,0,1,0,0,0,0,8.0,4,-1.0,1,267.0,1.0,48.0,0.0,0,1,0,1,266.0,0
57052,5,2,2,0,1,0,1,6.0,1,43.0,0,4043.0,1.0,54.0,0.0,0,0,1,0,278.0,1
28387,8,2,1,0,1,0,2,13.0,4,-1.0,1,56.0,6.0,33.0,0.0,0,1,0,1,9.0,0
43552,1,2,1,0,1,0,1,16.0,5,88.0,1,4043.0,2.0,34.0,0.0,0,2,1,2,984.0,1
21058,3,2,0,0,0,0,0,18.0,5,-1.0,1,-1.0,3.0,46.0,0.0,0,2,0,2,35.0,0
50511,1,2,2,0,0,0,1,24.0,10,-1.0,1,1798.0,1.0,43.0,0.0,0,3,0,3,497.0,1
36040,11,2,2,0,0,0,0,6.0,5,-1.0,1,425.0,1.0,44.0,0.0,0,0,0,2,147.0,0
64915,1,2,2,0,0,0,1,9.0,3,-1.0,1,3100.0,1.0,48.0,0.0,0,1,0,1,314.0,1
58707,3,2,1,0,1,0,1,24.0,5,-1.0,1,655.0,3.0,38.0,0.0,0,3,0,2,636.0,1
39330,3,2,1,0,1,0,0,22.0,9,-1.0,1,1144.0,1.0,45.0,0.0,0,3,0,3,676.0,1
64419,8,1,2,0,0,0,1,6.0,10,-1.0,1,1080.0,1.0,50.0,0.0,0,0,0,3,924.0,1
5984,1,2,2,0,0,0,1,21.0,7,-1.0,1,1363.0,3.0,39.0,0.0,0,2,0,2,294.0,0
3223,10,1,2,0,1,0,1,24.0,6,-1.0,1,497.0,6.0,28.0,0.0,0,3,0,2,1602.0,1
61352,1,2,1,0,0,0,1,11.0,7,362.0,2,2882.0,1.0,42.0,1.0,0,1,1,2,362.0,1
11528,3,1,1,0,1,0,1,18.0,4,-1.0,1,217.0,1.0,25.0,0.0,0,2,0,1,504.0,1
34169,7,0,1,0,1,0,1,20.0,10,-1.0,1,1194.0,2.0,40.0,0.0,0,2,0,3,99.0,0
32652,5,0,1,0,1,0,1,14.0,6,-1.0,1,187.0,2.0,32.0,0.0,0,1,0,2,90.0,0
15850,3,2,0,0,1,1,0,20.0,5,-1.0,1,883.0,5.0,35.0,0.0,1,2,0,2,18.0,0
19625,0,0,2,0,0,0,1,19.0,7,-1.0,1,114.0,2.0,57.0,0.0,0,2,0,2,281.0,0
45785,6,2,1,0,0,0,1,23.0,8,380.0,2,772.0,1.0,37.0,1.0,0,3,1,3,128.0,1
38500,3,2,0,0,1,0,0,20.0,4,-1.0,1,-197.0,2.0,39.0,0.0,0,2,0,1,204.0,0
57584,8,2,1,0,1,0,1,28.0,1,-1.0,1,486.0,1.0,32.0,0.0,0,3,0,0,1181.0,1
32966,1,2,2,0,1,0,1,18.0,10,-1.0,1,1477.0,2.0,50.0,0.0,0,2,0,3,283.0,0
37038,3,2,3,0,1,1,1,7.0,4,-1.0,1,982.0,2.0,56.0,0.0,1,0,0,1,135.0,0
70771,1,1,2,0,0,0,1,9.0,5,-1.0,1,2236.0,,38.0,0.0,0,1,0,2,211.0,1
28844,2,2,3,0,0,1,1,31.0,6,-1.0,1,4.0,4.0,46.0,0.0,0,,0,2,171.0,0
39833,1,0,2,0,0,0,1,15.0,9,-1.0,1,0.0,2.0,48.0,0.0,0,2,0,3,126.0,0
46341,1,2,1,0,0,0,1,20.0,7,-1.0,1,0.0,1.0,57.0,0.0,0,2,0,2,420.0,1
1426,3,2,0,1,1,0,1,4.0,4,357.0,2,-148.0,3.0,32.0,4.0,0,0,1,1,326.0,0
30590,1,1,2,0,1,0,1,6.0,4,-1.0,1,107.0,3.0,35.0,0.0,0,0,0,1,142.0,0
41804,0,2,2,0,1,0,1,4.0,7,298.0,0,432.0,1.0,42.0,2.0,0,0,1,2,671.0,1
44565,3,2,1,0,1,0,1,21.0,5,-1.0,1,578.0,2.0,51.0,0.0,0,2,0,2,966.0,1
63279,3,1,0,0,1,0,1,23.0,9,-1.0,1,215.0,1.0,36.0,0.0,0,3,0,3,268.0,1
67184,3,0,1,0,1,0,1,16.0,7,-1.0,1,4043.0,2.0,52.0,0.0,0,2,0,2,1432.0,1
36912,3,0,1,0,0,0,1,24.0,6,-1.0,1,506.0,1.0,47.0,0.0,0,3,0,2,134.0,0
12794,0,1,1,1,1,0,1,15.0,4,301.0,0,28.0,5.0,30.0,1.0,0,2,1,1,778.0,1
46800,2,1,1,0,1,0,1,14.0,8,104.0,3,1654.0,1.0,52.0,3.0,0,1,1,3,106.0,1
26109,7,2,0,0,0,1,0,1.0,6,-1.0,1,84.0,2.0,40.0,0.0,0,0,0,2,428.0,0
62216,7,1,2,0,0,0,1,19.0,3,-1.0,1,4043.0,1.0,28.0,0.0,0,2,0,1,477.0,1
50567,5,2,2,0,0,0,1,5.0,6,-1.0,1,1.0,1.0,51.0,0.0,0,0,0,2,491.0,1
16105,0,2,1,0,1,0,0,27.0,5,-1.0,1,594.0,4.0,27.0,0.0,0,3,0,2,433.0,0
56214,1,2,2,0,1,0,1,9.0,4,-1.0,1,315.0,1.0,34.0,0.0,0,1,0,1,766.0,1
64720,0,2,1,0,1,0,1,25.0,6,-1.0,1,523.0,1.0,33.0,0.0,0,3,0,2,765.0,1
2816,3,1,1,0,1,0,0,9.0,4,-1.0,1,216.0,1.0,31.0,0.0,0,1,0,1,128.0,0
75671,2,2,1,,1,0,,24.0,,220.0,0,2013.0,2.0,33.0,1.0,0,3,1,0,639.0,1
27559,0,1,1,0,0,0,1,27.0,7,-1.0,1,0.0,2.0,30.0,0.0,0,3,0,2,109.0,0
27040,8,2,1,0,0,0,1,13.0,7,-1.0,1,0.0,4.0,56.0,0.0,0,1,0,2,112.0,0
4544,0,1,1,0,0,0,1,26.0,4,77.0,0,4043.0,1.0,28.0,1.0,0,3,1,1,362.0,1
66720,1,1,1,0,0,1,1,12.0,0,-1.0,1,143.0,1.0,24.0,0.0,0,1,0,0,137.0,1
20604,0,0,1,0,0,0,1,25.0,6,-1.0,1,675.0,2.0,34.0,0.0,0,3,0,2,81.0,0
6787,11,2,1,0,0,0,0,20.0,6,-1.0,1,523.0,1.0,47.0,0.0,0,2,0,2,7.0,0
68775,3,2,1,0,0,0,1,22.0,7,-1.0,1,793.0,5.0,40.0,0.0,0,3,0,2,640.0,1
3395,5,1,1,0,1,0,0,13.0,4,-1.0,1,513.0,1.0,31.0,0.0,0,1,0,1,180.0,0
22992,0,1,1,0,1,1,1,8.0,3,-1.0,1,1048.0,2.0,39.0,0.0,1,1,0,1,201.0,0
9111,11,2,1,1,0,0,1,27.0,7,-1.0,1,2.0,3.0,40.0,0.0,0,3,0,2,158.0,0
1488,3,2,1,0,1,1,0,9.0,5,-1.0,1,427.0,3.0,37.0,0.0,1,1,0,2,371.0,0
29164,6,2,2,0,0,0,1,5.0,7,-1.0,1,0.0,1.0,66.0,0.0,0,0,0,2,177.0,0
39857,0,2,0,0,0,0,1,30.0,6,-1.0,1,4043.0,2.0,45.0,0.0,0,3,0,2,639.0,0
15188,0,2,1,0,1,0,1,13.0,7,-1.0,1,372.0,2.0,40.0,0.0,0,1,0,2,100.0,0
66285,6,0,2,0,1,0,1,20.0,3,-1.0,1,13.0,1.0,49.0,0.0,0,2,0,1,77.0,1
72095,3,2,1,0,1,0,,,4,-1.0,1,4043.0,1.0,51.0,0.0,0,,0,1,940.0,1
14318,1,2,2,0,1,1,1,12.0,7,-1.0,1,557.0,4.0,41.0,0.0,1,1,0,2,148.0,0
5289,1,1,2,0,1,0,1,29.0,6,174.0,2,2187.0,1.0,35.0,4.0,0,3,1,2,229.0,1
61215,6,2,2,0,0,0,1,29.0,10,-1.0,1,167.0,1.0,27.0,0.0,0,3,0,3,391.0,1
52699,1,2,0,0,1,0,1,16.0,5,-1.0,1,3135.0,1.0,35.0,0.0,0,2,0,2,816.0,1
20100,8,0,1,0,1,0,1,15.0,4,-1.0,1,2411.0,1.0,33.0,0.0,0,2,0,1,360.0,0
54263,3,2,2,0,1,0,1,26.0,6,-1.0,1,-392.0,3.0,42.0,0.0,0,3,0,2,668.0,1
55802,6,2,1,0,0,0,1,11.0,1,183.0,0,291.0,1.0,70.5,1.0,0,1,1,0,515.0,1
60800,1,2,1,0,1,0,1,16.0,6,40.0,0,402.0,1.0,42.0,0.0,0,2,1,2,579.0,1
65414,10,2,1,0,1,0,1,17.0,4,344.0,2,1013.0,1.0,36.0,1.0,0,2,1,1,1004.0,1
3016,0,1,1,0,0,0,1,31.0,6,-1.0,1,608.0,4.0,33.0,0.0,0,,0,2,58.0,0
13853,3,2,1,0,1,0,0,2.0,5,-1.0,1,63.0,6.0,36.0,0.0,0,0,0,2,56.0,0
58353,8,2,1,0,1,0,1,17.0,3,268.0,2,317.0,1.0,39.0,4.0,0,2,1,1,962.0,1
9557,1,0,2,0,0,1,1,10.0,11,188.0,3,380.0,1.0,54.0,2.0,0,1,1,0,501.0,1
38653,5,0,1,0,1,0,1,18.0,4,74.0,3,2353.0,6.0,45.0,3.0,0,2,1,1,435.0,0
58251,3,2,1,0,1,0,1,8.0,1,470.0,0,599.0,1.0,43.0,1.0,0,1,1,0,391.0,1
5297,7,2,0,0,0,1,0,27.0,5,-1.0,1,7.0,1.0,32.0,0.0,0,3,0,2,110.0,0
13149,7,2,0,0,0,0,0,16.0,5,-1.0,1,4.0,1.0,50.0,0.0,0,2,0,2,51.0,0
15104,8,1,1,0,0,0,0,19.0,5,-1.0,1,2453.0,2.0,39.0,0.0,0,2,0,2,92.0,0
31497,1,2,1,0,0,0,1,17.0,10,-1.0,1,71.0,1.0,42.0,0.0,0,2,0,3,80.0,0
52320,1,2,1,0,0,0,1,18.0,5,-1.0,1,1168.0,1.0,34.0,0.0,0,2,0,2,453.0,1
17974,3,1,1,0,1,0,1,21.0,10,-1.0,1,1475.0,5.0,32.0,0.0,0,2,0,3,209.0,0
17565,7,2,1,0,0,0,0,12.0,5,-1.0,1,1476.0,2.0,43.0,0.0,0,1,0,2,216.0,0
73908,3,2,1,,1,1,1,,,-1.0,1,-839.0,2.0,40.0,0.0,1,,0,0,1018.0,1
54812,6,2,0,0,0,0,1,12.0,10,-1.0,1,4043.0,1.0,63.0,0.0,0,1,0,3,702.0,0
21921,3,2,0,0,1,0,1,24.0,6,-1.0,1,787.0,2.0,29.0,0.0,0,3,0,2,257.0,0
19085,1,2,2,0,1,0,0,29.0,4,-1.0,1,1366.0,3.0,29.0,0.0,0,3,0,1,273.0,0
27011,0,2,2,0,0,0,1,11.0,7,-1.0,1,4043.0,2.0,33.0,0.0,0,1,0,2,121.0,0
26742,3,2,0,0,1,0,1,12.0,7,-1.0,1,2269.0,2.0,46.0,0.0,0,1,0,2,73.0,0
33028,1,1,2,0,1,0,1,29.0,11,197.0,3,718.0,1.0,32.0,1.0,0,3,1,0,155.0,0
50682,1,2,2,0,0,0,0,19.0,1,-1.0,1,303.0,1.0,44.0,0.0,0,2,0,0,954.0,1
37143,0,2,1,0,1,0,1,18.0,7,-1.0,1,4043.0,2.0,48.0,0.0,0,2,0,2,85.0,0
64509,0,2,1,0,0,0,1,5.0,5,-1.0,1,932.0,1.0,29.0,0.0,0,0,0,2,361.0,1
42437,0,1,1,0,1,0,1,9.0,4,-1.0,1,784.0,1.0,27.0,0.0,0,1,0,1,437.0,1
6961,1,2,2,0,0,0,1,20.0,7,-1.0,1,160.0,2.0,42.0,0.0,0,2,0,2,97.0,0
32609,7,2,0,0,0,0,2,18.0,7,-1.0,1,813.0,2.0,33.0,0.0,0,2,0,2,331.0,0
7710,0,0,1,0,1,0,0,26.0,4,-1.0,1,27.0,3.0,34.0,0.0,0,3,0,1,133.0,0
52243,2,2,2,0,0,0,1,28.0,1,-1.0,1,514.0,2.0,48.0,0.0,0,3,0,0,1914.0,1
67959,1,2,1,0,1,0,1,15.0,1,470.0,0,430.0,1.0,45.0,2.0,0,2,1,0,135.0,1
35677,1,2,2,0,0,0,1,21.0,10,-1.0,1,4043.0,6.0,49.0,0.0,0,2,0,3,579.0,0
55129,0,2,2,0,0,0,1,21.0,0,-1.0,1,1784.0,1.0,30.0,0.0,0,2,0,0,365.0,1
41953,5,1,1,0,1,0,1,16.0,3,318.0,2,-101.0,1.0,35.0,1.0,0,2,1,1,275.0,0
22978,0,2,1,0,0,0,2,29.0,6,-1.0,1,673.0,4.0,58.0,0.0,0,3,0,2,28.0,0
43826,0,2,1,0,1,0,1,7.0,5,-1.0,1,2789.0,2.0,61.0,0.0,0,0,0,2,260.0,1
15145,0,1,1,0,0,0,0,17.0,5,-1.0,1,770.0,2.0,54.0,0.0,0,2,0,2,89.0,0
33520,1,2,2,0,0,0,1,15.0,6,-1.0,1,182.0,1.0,46.0,0.0,0,2,0,2,317.0,0
5777,0,1,1,1,0,1,1,14.0,7,-1.0,1,-305.0,6.0,30.0,0.0,0,1,0,2,108.0,0
16738,1,2,0,0,0,0,1,7.0,6,-1.0,1,4043.0,2.0,58.0,0.0,0,0,0,2,179.0,0
25535,1,2,2,0,1,0,0,19.0,5,-1.0,1,-52.0,1.0,45.0,0.0,0,2,0,2,202.0,0
3904,10,2,1,0,1,0,0,19.0,4,-1.0,1,2996.0,1.0,32.0,0.0,0,2,0,1,68.0,0
906,3,2,0,0,1,0,0,21.0,4,-1.0,1,204.0,4.0,37.0,0.0,0,2,0,1,161.0,0
44072,6,2,1,0,1,0,1,28.0,6,-1.0,1,1.0,2.0,34.0,0.0,0,3,0,2,845.0,1
51877,1,0,2,0,0,0,1,3.0,5,-1.0,1,2104.0,2.0,52.0,0.0,0,0,0,2,210.0,1
42867,1,1,1,0,0,0,1,11.0,1,184.0,0,3456.0,1.0,53.0,1.0,0,1,1,0,172.0,1
46162,0,2,1,0,1,0,1,22.0,3,58.0,1,1158.0,1.0,40.0,3.0,0,3,1,1,973.0,1
11736,11,2,2,1,1,1,0,5.0,5,-1.0,1,0.0,3.0,29.0,0.0,1,0,0,2,399.0,0
59792,3,2,2,0,1,0,1,11.0,4,-1.0,1,3059.0,1.0,37.0,0.0,0,1,0,1,471.0,1
36643,5,1,1,0,0,1,1,18.0,6,-1.0,1,-39.0,2.0,28.0,0.0,0,2,0,2,64.0,0
43722,0,2,1,0,0,0,1,5.0,7,-1.0,1,166.0,2.0,43.0,0.0,0,0,0,2,303.0,0
71160,3,1,0,0,1,0,1,18.0,4,357.0,2,159.0,6.0,47.0,4.0,0,2,1,1,7.0,0
39100,4,2,1,0,0,0,1,4.0,1,177.0,0,335.0,2.0,33.0,4.0,0,0,1,0,891.0,1
13011,0,2,2,0,0,0,1,6.0,7,-1.0,1,118.0,2.0,35.0,0.0,0,0,0,2,358.0,0
11539,8,2,1,0,1,0,0,4.0,5,-1.0,1,3756.0,3.0,32.0,0.0,0,0,0,2,85.0,0
35291,3,1,0,0,1,0,1,17.0,3,-1.0,1,0.0,1.0,38.0,0.0,0,2,0,1,775.0,0
73506,1,2,1,0,1,0,1,1.0,1,-1.0,1,1585.0,2.0,33.0,0.0,0,0,0,0,196.0,1
69715,0,2,1,0,1,0,,4.0,1,245.0,,1629.0,,36.0,4.0,0,0,1,0,232.0,1
